02/19/19|000041501|EDMUNDSTON QUEEN ST.|PM2.5-24hr|UG/M3|6.9|24|Environment Canada
02/19/19|000050113|Chomedey|OZONE-1HR|PPB|39|1|Meteorological Service of Canada
02/19/19|000050113|Chomedey|OZONE-8HR|PPB|37|8|Meteorological Service of Canada
02/19/19|000050119|Bourassa|OZONE-1HR|PPB|34|1|Meteorological Service of Canada
02/19/19|000050119|Bourassa|OZONE-8HR|PPB|32|8|Meteorological Service of Canada
02/19/19|000050204|Hull (Ile)|OZONE-1HR|PPB|40|1|Meteorological Service of Canada
02/19/19|000050204|Hull (Ile)|OZONE-8HR|PPB|37|8|Meteorological Service of Canada
02/19/19|000050308|Des Sables|OZONE-1HR|PPB|35|1|Meteorological Service of Canada
02/19/19|000050308|Des Sables|OZONE-8HR|PPB|34|8|Meteorological Service of Canada
02/19/19|000050311|Parc Primavere|OZONE-1HR|PPB|39|1|Environment Canada
02/19/19|000050311|Parc Primavere|OZONE-8HR|PPB|37|8|Environment Canada
02/19/19|000050311|Parc Primavere|PM2.5-24hr|UG/M3|5.2|24|Environment Canada
02/19/19|000050404|Parc Cambron|OZONE-1HR|PPB|40|1|Meteorological Service of Canada
02/19/19|000050404|Parc Cambron|OZONE-8HR|PPB|37|8|Meteorological Service of Canada
02/19/19|000050604|Parc Tremblay|OZONE-1HR|PPB|37|1|Meteorological Service of Canada
02/19/19|000050604|Parc Tremblay|OZONE-8HR|PPB|35|8|Meteorological Service of Canada
02/19/19|000051501|Zephirin|OZONE-1HR|PPB|40|1|Meteorological Service of Canada
02/19/19|000051501|Zephirin|OZONE-8HR|PPB|38|8|Meteorological Service of Canada
02/19/19|000051501|Zephirin|PM2.5-24hr|UG/M3|8|24|Meteorological Service of Canada
02/19/19|000052001|Charette|OZONE-1HR|PPB|40|1|Meteorological Service of Canada
02/19/19|000052001|Charette|OZONE-8HR|PPB|38|8|Meteorological Service of Canada
02/19/19|000052201|Brossard|OZONE-1HR|PPB|38|1|Meteorological Service of Canada
02/19/19|000052201|Brossard|OZONE-8HR|PPB|35|8|Meteorological Service of Canada
02/19/19|000052301|Saint-Faustin|OZONE-1HR|PPB|39|1|Meteorological Service of Canada
02/19/19|000052301|Saint-Faustin|OZONE-8HR|PPB|38|8|Meteorological Service of Canada
02/19/19|000052301|Saint-Faustin|PM2.5-24hr|UG/M3|3.2|24|Meteorological Service of Canada
02/19/19|000052401|La Peche|OZONE-1HR|PPB|40|1|Meteorological Service of Canada
02/19/19|000052401|La Peche|OZONE-8HR|PPB|38|8|Meteorological Service of Canada
02/19/19|000053201|PEMONCA|OZONE-1HR|PPB|37|1|Meteorological Service of Canada
02/19/19|000053201|PEMONCA|OZONE-8HR|PPB|36|8|Meteorological Service of Canada
02/19/19|000053301|Deschambault|OZONE-1HR|PPB|40|1|Meteorological Service of Canada
02/19/19|000053301|Deschambault|OZONE-8HR|PPB|39|8|Meteorological Service of Canada
02/19/19|000053501|Francois|OZONE-1HR|PPB|38|1|Meteorological Service of Canada
02/19/19|000053501|Francois|OZONE-8HR|PPB|36|8|Meteorological Service of Canada
02/19/19|000053601|N.-D.-du-Rosaire|OZONE-1HR|PPB|38|1|Meteorological Service of Canada
02/19/19|000053601|N.-D.-du-Rosaire|OZONE-8HR|PPB|37|8|Meteorological Service of Canada
02/19/19|000053701|HILAIRE|OZONE-1HR|PPB|39|1|Meteorological Service of Canada
02/19/19|000053701|HILAIRE|OZONE-8HR|PPB|38|8|Meteorological Service of Canada
02/19/19|000053801|Tingwick|OZONE-1HR|PPB|39|1|Meteorological Service of Canada
02/19/19|000053801|Tingwick|OZONE-8HR|PPB|38|8|Meteorological Service of Canada
02/19/19|000053901|Edouard|OZONE-1HR|PPB|38|1|Meteorological Service of Canada
02/19/19|000053901|Edouard|OZONE-8HR|PPB|36|8|Meteorological Service of Canada
02/19/19|000054201|Chapais|OZONE-1HR|PPB|40|1|Canadian Air and Precipitation Monitoring Network
02/19/19|000054201|Chapais|OZONE-8HR|PPB|39|8|Canadian Air and Precipitation Monitoring Network
02/19/19|000054703|Becancour (Arena)|PM2.5-24hr|UG/M3|7.1|24|Meteorological Service of Canada
02/19/19|000054901|Ditton|OZONE-1HR|PPB|39|1|Meteorological Service of Canada
02/19/19|000054901|Ditton|OZONE-8HR|PPB|38|8|Meteorological Service of Canada
02/19/19|000055001|Mont-Saint-Michel|OZONE-1HR|PPB|40|1|Meteorological Service of Canada
02/19/19|000055001|Mont-Saint-Michel|OZONE-8HR|PPB|37|8|Meteorological Service of Canada
02/19/19|000055501|Frelighsburg|OZONE-1HR|PPB|43|1|Canadian Air and Precipitation Monitoring Network
02/19/19|000055501|Frelighsburg|OZONE-8HR|PPB|42|8|Canadian Air and Precipitation Monitoring Network
02/19/19|000060104|Ottawa|OZONE-1HR|PPB|39|1|Ontario Ministry of the Environment
02/19/19|000060104|Ottawa|OZONE-8HR|PPB|36|8|Ontario Ministry of the Environment
02/19/19|000060104|Ottawa|PM2.5-24hr|UG/M3|5.8|24|Ontario Ministry of the Environment
02/19/19|000060204|Windsor Downtown|OZONE-1HR|PPB|29|1|Ontario Ministry of the Environment
02/19/19|000060204|Windsor Downtown|OZONE-8HR|PPB|26|8|Ontario Ministry of the Environment
02/19/19|000060204|Windsor Downtown|PM2.5-24hr|UG/M3|12.4|24|Ontario Ministry of the Environment
02/19/19|000060304|Kingston|OZONE-1HR|PPB|45|1|Ontario Ministry of the Environment
02/19/19|000060304|Kingston|OZONE-8HR|PPB|43|8|Ontario Ministry of the Environment
02/19/19|000060304|Kingston|PM2.5-24hr|UG/M3|2.7|24|Ontario Ministry of the Environment
02/19/19|000060424|Toronto Downtown|OZONE-1HR|PPB|39|1|Ontario Ministry of the Environment
02/19/19|000060424|Toronto Downtown|OZONE-8HR|PPB|35|8|Ontario Ministry of the Environment
02/19/19|000060424|Toronto Downtown|PM2.5-24hr|UG/M3|11.2|24|Ontario Ministry of the Environment
02/19/19|000060512|Hamilton Downtown|OZONE-1HR|PPB|40|1|Ontario Ministry of the Environment
02/19/19|000060512|Hamilton Downtown|OZONE-8HR|PPB|37|8|Ontario Ministry of the Environment
02/19/19|000060512|Hamilton Downtown|PM2.5-24hr|UG/M3|9.3|24|Ontario Ministry of the Environment
02/19/19|000060610|Sudbury|OZONE-1HR|PPB|36|1|Ontario Ministry of the Environment
02/19/19|000060610|Sudbury|OZONE-8HR|PPB|33|8|Ontario Ministry of the Environment
02/19/19|000060610|Sudbury|PM2.5-24hr|UG/M3|9.8|24|Ontario Ministry of the Environment
02/19/19|000060709|Sault Ste Marie|OZONE-1HR|PPB|40|1|Ontario Ministry of the Environment
02/19/19|000060709|Sault Ste Marie|OZONE-8HR|PPB|38|8|Ontario Ministry of the Environment
02/19/19|000060709|Sault Ste Marie|PM2.5-24hr|UG/M3|3.9|24|Ontario Ministry of the Environment
02/19/19|000060904|London|OZONE-1HR|PPB|46|1|Ontario Ministry of the Environment
02/19/19|000060904|London|OZONE-8HR|PPB|40|8|Ontario Ministry of the Environment
