"Date","Time","AqsID","Site Name","Parameter","Units","Concentration","Agency","AQI_Value","2019-03-20 17:22:34","2018-01-05 08:36:27"
"03/20/2019","16:00","270031001","East Bethel","OZONE","PPB",48,"Minnesota Pollution Control Agency",44,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270031002","Blaine","OZONE","PPB",48,"Minnesota Pollution Control Agency",44,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270353204","Brainerd","OZONE","PPB",48,"Minnesota Pollution Control Agency",44,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","271095008","Rochester","OZONE","PPB",47,"Minnesota Pollution Control Agency",44,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","271390505","Shakopee","OZONE","PPB",48,"Minnesota Pollution Control Agency",44,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380570004","Beulah North","PM25","UG/M3",10.4,"North Dakota Health",43,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550270001","Horicon Wildlife Are","OZONE","PPB",46,"Wisconsin DNR",43,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550410007","POTAWATOMI ","OZONE","PPB",46,"Wisconsin DNR",43,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","190170011","Waverly, Airport","OZONE","PPB",46,"Iowa DNR",43,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270953051","Mille Lacs","OZONE","PPB",46,"Minnesota Pollution Control Agency",43,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","460710001","Badlands","PM25","UG/M3",10.3,"South Dakota",43,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","000070203","Brandon","OZONE","PPB",45,"Manitoba Conservation Air Quality Section",42,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","271370034","Voyageurs NP","OZONE","PPB",45,"National Park Service",42,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550090005","GREEN BAY E HIGH","PM25","UG/M3",10,"Wisconsin DNR",42,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191630015","Davenport, 10th & Vi","PM25","UG/M3",10.1,"Iowa DNR",42,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270177417","Fond du Lac","OZONE","PPB",45,"Minnesota Pollution Control Agency",42,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191770006","Lake Sugema","OZONE","PPB",44,"Iowa DNR",41,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270750005","Ely","OZONE","PPB",44,"Minnesota Pollution Control Agency",41,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","190450021","Clinton, Rainbow Par","OZONE","PPB",42,"Iowa DNR",39,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","381010003","RYDER","PM25","UG/M3",9.1,"North Dakota Health",38,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","190130009","Waterloo, Water Towe","PM25","UG/M3",9,"Iowa DNR",38,"2019-03-20 17:22:34",NA
