"File","Time","Status","Message"
"2016080518","2016-08-05 16:17:32","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016080714","2016-08-07 10:17:11","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016080713","2016-08-07 10:17:21","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016080712","2016-08-07 10:17:31","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081101","2016-08-10 21:17:11","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081100","2016-08-10 21:17:21","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081023","2016-08-10 21:17:31","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081207","2016-08-12 03:17:12","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081206","2016-08-12 03:17:22","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081205","2016-08-12 03:17:32","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081219","2016-08-12 15:17:12","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081218","2016-08-12 15:17:22","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081217","2016-08-12 15:17:32","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081222","2016-08-12 18:17:12","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081221","2016-08-12 18:17:22","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081220","2016-08-12 18:17:32","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081318","2016-08-13 14:17:11","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081317","2016-08-13 14:17:21","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081316","2016-08-13 14:17:31","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081513","2016-08-15 09:17:12","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
"2016081512","2016-08-15 09:17:22","Failed","Error in open.connection(con, ""rb"") : Timeout was reached
"
